final_value,max_drawdown,max_win_streak,max_loss_streak
1000854.845574391,0.6242888543860265,6,7
999327.571297771,1.076650067542174,9,8
1002889.3245483586,0.3522094050567796,6,6
1001666.9011071024,0.20228478058347946,5,5
1003133.6149751928,0.19794627408858947,6,5
1003897.7524154626,0.10849898639414489,5,4
1000079.3564735726,0.4037244994495969,5,6
995931.6485891821,0.8503864190319087,4,7
1003363.6697739349,0.11964384599390103,8,4
956118.5668521833,16.854570876122114,6,13
1000959.1065593582,0.6184498980694763,6,7
1003050.8849279019,0.35705586808138395,6,6
1001939.0587419146,0.3513340583899261,6,6
1002639.6051757375,0.19787857584726,5,5
1002470.6649509293,0.3516831177585053,5,6
1001249.5160283274,0.3520219933878217,5,6
1000829.9396543651,0.6186139753950816,8,7
1002840.2887635923,0.21554634767665348,5,5
1001170.5230650206,0.35523449732774326,9,6
999411.5464077214,1.0796495834267879,4,8
1001458.8128390415,0.35234072537154426,6,6
985884.4440070672,5.626351110318193,8,11
997609.1759621955,0.7817435751035211,4,7
996699.1140836463,1.083179008405652,8,8
1000252.2169259689,0.19783286999683308,7,5
1002249.7645023037,0.35153183873551547,4,6
1001600.2988184115,0.35193924820895056,6,6
997319.2548587683,1.8747544399616072,7,9
1002025.6810050957,0.6182050619005945,7,7
1001198.7360011601,0.6227827871432033,6,7
1001963.1763804974,0.20336275489932343,8,5
1000821.981688121,0.6189662311108093,5,7
1002325.9861450919,0.22890790407907521,5,5
987450.0396504882,5.624024607410143,6,11
1002073.371068734,0.11408526473925795,4,4
998107.4259907422,1.091243908365028,7,8
1004702.0175296338,0.05711535442549644,7,3
1004461.2192673224,0.057065725662229755,6,3
1000528.1426805028,0.6179875859249696,4,7
1002723.7321968256,0.35202812065607036,5,6
1002325.317889032,0.19757278013282611,5,5
1002181.0911551076,0.19796654937968167,5,5
995085.13342803,2.1532859802683655,5,9
1001343.8563062898,0.23099232671918135,5,5
1002038.0460817458,0.19774801199751094,5,5
1000033.4666537318,1.0793479646180772,4,8
1002013.1401617199,0.19794230570986387,7,5
1001978.0489253982,0.19761665188182104,6,5
1001872.5980214605,0.21714841584322417,5,5
1002781.9931618341,0.19761929417778662,6,5
1002311.0411964322,0.1974525514578164,7,5
1000018.6032488815,0.618143218723231,5,7
1001096.6713305069,0.35234072537154426,5,6
1001396.6931910326,0.19772827842800653,4,5
984768.8607684808,1.888947241907726,12,9
1001821.0568064395,0.3518381058662576,7,6
1002454.2439699718,0.19794725393331908,5,5
